,Model ID,Scores
0,lSVM1,9.87% +/- 1.42%
1,lSVM2,42.93% +/- 3.28%
2,lSVM3,92.93% +/- 2.00%
3,kSVM1,5.87% +/- 2.65%
4,kSVM2,5.87% +/- 2.65%
5,kSVM3,5.87% +/- 2.65%
6,kSVM4,5.87% +/- 2.65%
7,kSVM5,7.33% +/- 1.74%
8,kSVM6,7.33% +/- 1.74%
9,kSVM7,28.27% +/- 2.09%
10,kSVM8,37.20% +/- 2.71%
11,kSVM9,37.20% +/- 2.71%
