,Model ID,Scores
0,lSVM1,11.73% +/- 2.52%
1,lSVM2,36.00% +/- 2.70%
2,lSVM3,86.13% +/- 2.25%
3,kSVM1,4.93% +/- 2.55%
4,kSVM2,4.93% +/- 2.55%
5,kSVM3,4.93% +/- 2.55%
6,kSVM4,5.60% +/- 2.37%
7,kSVM5,11.60% +/- 2.75%
8,kSVM6,11.60% +/- 2.75%
9,kSVM7,22.00% +/- 2.53%
10,kSVM8,29.33% +/- 1.46%
11,kSVM9,29.33% +/- 1.46%
