,Model ID,Scores
0,MLP21,97.20% +/- 1.65%
1,MLP22,98.00% +/- 0.73%
2,MLP31,95.73% +/- 2.25%
3,MLP32,98.13% +/- 0.78%
4,MLP41,95.60% +/- 1.77%
5,MLP42,95.47% +/- 2.90%
6,MLP51,95.60% +/- 2.62%
7,MLP52,95.47% +/- 1.60%
