,Model ID,Scores
0,MLP21,98.13% +/- 1.76%
1,MLP22,97.73% +/- 2.37%
2,MLP31,98.27% +/- 2.52%
3,MLP32,98.13% +/- 1.95%
4,MLP41,96.53% +/- 1.65%
5,MLP42,98.27% +/- 1.44%
6,MLP51,97.33% +/- 2.19%
7,MLP52,97.20% +/- 3.49%
