,Model ID,Scores
0,lSVM1,84.13% +/- 5.54%
1,lSVM2,99.47% +/- 0.65%
2,lSVM3,99.47% +/- 0.65%
3,kSVM1,5.73% +/- 2.59%
4,kSVM2,5.73% +/- 2.59%
5,kSVM3,5.73% +/- 2.59%
6,kSVM4,36.00% +/- 5.11%
7,kSVM5,75.07% +/- 3.59%
8,kSVM6,75.07% +/- 3.59%
9,kSVM7,99.47% +/- 0.65%
10,kSVM8,99.73% +/- 0.33%
11,kSVM9,99.73% +/- 0.33%
