,Model ID,Scores
0,MLP21,27.60% +/- 3.00%
1,MLP22,51.87% +/- 11.70%
2,MLP31,29.33% +/- 2.53%
3,MLP32,32.80% +/- 9.80%
4,MLP41,28.27% +/- 2.48%
5,MLP42,36.13% +/- 8.32%
6,MLP51,29.20% +/- 2.84%
7,MLP52,31.87% +/- 3.17%
