,Model ID,Scores
0,lSVM1,81.20% +/- 4.85%
1,lSVM2,98.53% +/- 0.65%
2,lSVM3,98.53% +/- 0.65%
3,kSVM1,6.13% +/- 4.94%
4,kSVM2,6.13% +/- 4.94%
5,kSVM3,6.13% +/- 4.94%
6,kSVM4,35.60% +/- 3.52%
7,kSVM5,73.20% +/- 1.81%
8,kSVM6,73.20% +/- 1.81%
9,kSVM7,98.40% +/- 0.80%
10,kSVM8,98.53% +/- 0.65%
11,kSVM9,98.53% +/- 0.65%
